epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0831,1.37015,4.34406,1.24535,0.24496,0.08332,0.04904,0.03407,1.28362,3.21892,1.14896,0.000150518,0.000150518,0.000150518
2,49.3194,1.37209,3.47789,1.23376,0.20251,0.15806,0.06923,0.04634,1.29996,2.86606,1.20039,0.000299193,0.000299193,0.000299193
3,69.3386,1.36966,3.14258,1.22868,0.18906,0.16836,0.08057,0.055,1.36742,2.927,1.29311,0.000444865,0.000444865,0.000444865
4,89.4485,1.35313,2.92366,1.2263,0.24851,0.17485,0.10112,0.06816,1.34168,2.82861,1.21274,0.000441486,0.000441486,0.000441486
5,109.227,1.33652,2.69988,1.20264,0.22646,0.2174,0.12564,0.08492,1.29943,2.68626,1.21268,0.000436982,0.000436982,0.000436982
6,128.895,1.31841,2.51516,1.18909,0.32974,0.21139,0.14739,0.10198,1.24363,2.49414,1.17091,0.000432478,0.000432478,0.000432478
7,148.931,1.28977,2.34459,1.1788,0.30053,0.19699,0.13842,0.09601,1.30377,2.58388,1.18845,0.000427973,0.000427973,0.000427973
8,168.325,1.26708,2.24222,1.17321,0.28766,0.21734,0.14645,0.10224,1.25884,2.61685,1.16592,0.000423468,0.000423468,0.000423468
9,188.051,1.25986,2.11874,1.15311,0.35227,0.21995,0.1691,0.11954,1.25859,2.56691,1.15965,0.000418964,0.000418964,0.000418964
10,207.702,1.22896,2.01637,1.14846,0.36882,0.21863,0.18644,0.13242,1.2441,2.39447,1.16049,0.00041446,0.00041446,0.00041446
11,227.015,1.22463,1.90989,1.13778,0.3588,0.22766,0.19024,0.1385,1.23033,2.36183,1.15288,0.000409955,0.000409955,0.000409955
12,246.338,1.21155,1.85017,1.1393,0.30407,0.2239,0.16536,0.11648,1.23733,2.6321,1.1629,0.000405451,0.000405451,0.000405451
13,265.716,1.19758,1.76877,1.13015,0.38427,0.20794,0.18735,0.13281,1.24471,2.44094,1.16704,0.000400946,0.000400946,0.000400946
14,285.42,1.18362,1.71625,1.11733,0.35007,0.25285,0.19597,0.14204,1.23757,2.38442,1.1478,0.000396441,0.000396441,0.000396441
15,305.187,1.18609,1.62988,1.11821,0.35068,0.25979,0.21643,0.15468,1.23985,2.35958,1.16117,0.000391937,0.000391937,0.000391937
16,324.28,1.16412,1.57818,1.1109,0.42465,0.24382,0.22416,0.1604,1.21393,2.30508,1.14356,0.000387433,0.000387433,0.000387433
17,343.274,1.15692,1.51235,1.10108,0.37296,0.25598,0.23713,0.17273,1.24831,2.30607,1.15366,0.000382928,0.000382928,0.000382928
18,362.335,1.15101,1.46559,1.09792,0.3759,0.26238,0.23347,0.16915,1.21618,2.29732,1.15046,0.000378423,0.000378423,0.000378423
19,381.341,1.12773,1.40342,1.09465,0.49885,0.24993,0.25736,0.18905,1.19257,2.26286,1.13685,0.000373919,0.000373919,0.000373919
20,400.269,1.11741,1.3582,1.08742,0.45997,0.26784,0.25922,0.19111,1.18861,2.25595,1.14062,0.000369415,0.000369415,0.000369415
21,419.215,1.11656,1.3194,1.08687,0.45423,0.26457,0.25189,0.18175,1.19186,2.30668,1.13938,0.00036491,0.00036491,0.00036491
22,438.347,1.10927,1.29593,1.08033,0.4801,0.27428,0.26745,0.19706,1.20427,2.24113,1.13663,0.000360406,0.000360406,0.000360406
23,457.659,1.09395,1.25927,1.07386,0.42286,0.27953,0.2606,0.19232,1.19164,2.24471,1.14137,0.000355901,0.000355901,0.000355901
24,476.727,1.09572,1.22662,1.06927,0.44763,0.29671,0.28185,0.2079,1.17448,2.19774,1.13297,0.000351396,0.000351396,0.000351396
25,495.852,1.094,1.20094,1.07646,0.47423,0.26989,0.2698,0.1976,1.1914,2.25322,1.12072,0.000346892,0.000346892,0.000346892
26,514.827,1.07802,1.16896,1.05893,0.53247,0.27868,0.29639,0.2185,1.16221,2.17018,1.11557,0.000342387,0.000342387,0.000342387
27,534.036,1.08274,1.15924,1.053,0.45535,0.29718,0.29591,0.21771,1.17925,2.14304,1.13008,0.000337883,0.000337883,0.000337883
28,553.162,1.06875,1.12487,1.0605,0.53706,0.26689,0.29369,0.21934,1.16835,2.16117,1.12889,0.000333379,0.000333379,0.000333379
29,572.539,1.06203,1.1056,1.05918,0.52326,0.29395,0.29185,0.21414,1.17946,2.21612,1.13608,0.000328874,0.000328874,0.000328874
30,592.104,1.05977,1.08397,1.0482,0.54494,0.2902,0.30278,0.22719,1.17271,2.16672,1.11879,0.000324369,0.000324369,0.000324369
31,611.606,1.0392,1.05018,1.04897,0.49523,0.29881,0.31145,0.23277,1.1614,2.13836,1.12268,0.000319865,0.000319865,0.000319865
32,631.011,1.0479,1.05037,1.04502,0.47184,0.29858,0.30524,0.22735,1.174,2.19432,1.11185,0.00031536,0.00031536,0.00031536
33,650.407,1.04336,1.02861,1.03992,0.51538,0.30595,0.31433,0.23689,1.16601,2.10953,1.12075,0.000310856,0.000310856,0.000310856
34,669.794,1.01914,0.99396,1.03491,0.51739,0.30924,0.31823,0.24014,1.1417,2.13715,1.11562,0.000306351,0.000306351,0.000306351
35,689.546,1.01999,0.97233,1.03091,0.53347,0.31499,0.32854,0.24409,1.15811,2.14336,1.11839,0.000301847,0.000301847,0.000301847
36,709.234,1.01327,0.95958,1.03634,0.57606,0.31039,0.32227,0.24115,1.13991,2.13306,1.10601,0.000297342,0.000297342,0.000297342
37,728.758,0.9985,0.95321,1.02854,0.58231,0.31273,0.33211,0.24786,1.14084,2.13482,1.10145,0.000292838,0.000292838,0.000292838
38,748.409,1.01186,0.95136,1.03538,0.56678,0.31177,0.32584,0.24373,1.1555,2.17121,1.11134,0.000288333,0.000288333,0.000288333
39,767.835,1.00914,0.93567,1.02396,0.5746,0.31765,0.33548,0.25132,1.12405,2.10481,1.10551,0.000283829,0.000283829,0.000283829
40,787.169,0.99903,0.91047,1.01973,0.57223,0.32866,0.35205,0.26498,1.13767,2.10082,1.10143,0.000279325,0.000279325,0.000279325
41,806.759,0.99607,0.90172,1.02097,0.55371,0.31537,0.33944,0.2562,1.13336,2.15146,1.09947,0.00027482,0.00027482,0.00027482
42,826.422,0.9869,0.88794,1.01127,0.58436,0.32389,0.34243,0.25924,1.12661,2.14268,1.10022,0.000270316,0.000270316,0.000270316
43,845.907,0.98916,0.88902,1.01341,0.54588,0.3286,0.34104,0.25459,1.12987,2.11122,1.10226,0.000265811,0.000265811,0.000265811
44,865.55,0.98379,0.87145,1.01129,0.60017,0.32112,0.34802,0.26335,1.12478,2.10279,1.0928,0.000261307,0.000261307,0.000261307
45,885.047,0.97145,0.85153,1.01023,0.55319,0.33536,0.35284,0.26606,1.13332,2.10196,1.10111,0.000256802,0.000256802,0.000256802
46,904.736,0.99005,0.87069,1.00888,0.58235,0.32762,0.34242,0.25828,1.12879,2.09626,1.10217,0.000252298,0.000252298,0.000252298
47,924.341,0.97294,0.84857,1.0028,0.63361,0.31742,0.35163,0.2676,1.1225,2.13193,1.09689,0.000247793,0.000247793,0.000247793
48,943.686,0.95012,0.83107,1.00253,0.60204,0.3396,0.35587,0.26603,1.12757,2.08379,1.09335,0.000243289,0.000243289,0.000243289
49,963.118,0.95839,0.82582,1.00238,0.59635,0.34703,0.36356,0.27325,1.13252,2.09682,1.10205,0.000238784,0.000238784,0.000238784
50,982.732,0.96388,0.83038,1.00451,0.59721,0.33922,0.35403,0.26616,1.12167,2.11149,1.09746,0.00023428,0.00023428,0.00023428
51,1002.14,0.94478,0.79674,0.99744,0.63955,0.32923,0.35889,0.26911,1.12437,2.10428,1.09228,0.000229775,0.000229775,0.000229775
52,1021.47,0.93299,0.7847,0.99296,0.6861,0.32665,0.36711,0.2766,1.11902,2.08618,1.09256,0.00022527,0.00022527,0.00022527
53,1041.1,0.93032,0.79088,0.98768,0.69652,0.31787,0.36362,0.27277,1.11372,2.08504,1.09531,0.000220766,0.000220766,0.000220766
54,1060.94,0.94014,0.78491,0.99369,0.61118,0.34255,0.3713,0.28085,1.11025,2.06841,1.08835,0.000216261,0.000216261,0.000216261
55,1080.51,0.93569,0.77645,0.98967,0.61304,0.34563,0.36687,0.27789,1.1067,2.11488,1.08373,0.000211757,0.000211757,0.000211757
56,1100.09,0.93246,0.77326,0.99181,0.59345,0.34822,0.3652,0.27673,1.11951,2.1092,1.09505,0.000207252,0.000207252,0.000207252
57,1119.63,0.93284,0.76682,0.98437,0.71196,0.32568,0.37012,0.28028,1.10556,2.06132,1.08735,0.000202748,0.000202748,0.000202748
58,1139.5,0.92063,0.76008,0.98432,0.62955,0.34136,0.37057,0.28151,1.10534,2.07344,1.08928,0.000198244,0.000198244,0.000198244
59,1159.13,0.9083,0.72892,0.98036,0.60336,0.33912,0.36784,0.27865,1.11639,2.14577,1.09333,0.000193739,0.000193739,0.000193739
60,1178.67,0.90976,0.73844,0.97712,0.64496,0.34138,0.37326,0.28262,1.12164,2.15445,1.10158,0.000189235,0.000189235,0.000189235
61,1198.25,0.90816,0.73332,0.97739,0.63752,0.33611,0.36884,0.27919,1.10925,2.14329,1.09712,0.00018473,0.00018473,0.00018473
62,1217.96,0.91773,0.74204,0.97818,0.66829,0.33533,0.37601,0.28511,1.09841,2.11346,1.08663,0.000180226,0.000180226,0.000180226
63,1237.55,0.91004,0.72481,0.97532,0.66986,0.33497,0.37054,0.27995,1.10564,2.14544,1.09118,0.000175721,0.000175721,0.000175721
64,1257.24,0.88982,0.70558,0.9713,0.61229,0.35052,0.3763,0.28385,1.10203,2.08259,1.0882,0.000171217,0.000171217,0.000171217
65,1276.73,0.89716,0.72136,0.9736,0.61291,0.34617,0.37208,0.28334,1.09566,2.09639,1.08706,0.000166712,0.000166712,0.000166712
66,1296.34,0.89343,0.71523,0.97155,0.62177,0.35077,0.37572,0.28454,1.10646,2.12966,1.09298,0.000162207,0.000162207,0.000162207
67,1315.82,0.88314,0.70354,0.97031,0.65994,0.35393,0.38437,0.29431,1.08809,2.07362,1.08344,0.000157703,0.000157703,0.000157703
68,1335.31,0.88259,0.70091,0.97199,0.65636,0.35451,0.38307,0.29035,1.09853,2.08153,1.08202,0.000153198,0.000153198,0.000153198
69,1355.32,0.8754,0.68941,0.96567,0.64584,0.35186,0.3857,0.29338,1.09917,2.1099,1.08186,0.000148694,0.000148694,0.000148694
70,1374.96,0.87564,0.68864,0.96512,0.6849,0.34956,0.3873,0.29436,1.09023,2.09426,1.08297,0.00014419,0.00014419,0.00014419
71,1394.63,0.86663,0.67654,0.95922,0.66617,0.35259,0.39062,0.29791,1.08382,2.08447,1.08511,0.000139685,0.000139685,0.000139685
72,1414.41,0.87282,0.68543,0.96259,0.64974,0.35689,0.38907,0.29673,1.08052,2.06664,1.08212,0.000135181,0.000135181,0.000135181
73,1434.3,0.86374,0.66932,0.96007,0.69419,0.35432,0.39089,0.29863,1.07965,2.11628,1.07699,0.000130676,0.000130676,0.000130676
74,1453.93,0.86576,0.66639,0.96227,0.65888,0.36116,0.38684,0.29572,1.08131,2.0829,1.07929,0.000126172,0.000126172,0.000126172
75,1473.35,0.85802,0.66472,0.95817,0.66466,0.35784,0.39156,0.29877,1.09374,2.04364,1.08496,0.000121667,0.000121667,0.000121667
76,1492.84,0.854,0.65449,0.95525,0.66571,0.3556,0.38694,0.29576,1.08679,2.09618,1.08398,0.000117163,0.000117163,0.000117163
77,1512.42,0.84977,0.65685,0.95797,0.68873,0.35065,0.39055,0.29826,1.08754,2.09776,1.08497,0.000112658,0.000112658,0.000112658
78,1531.79,0.85424,0.64748,0.95306,0.67149,0.36153,0.39635,0.30401,1.07763,2.07449,1.08136,0.000108154,0.000108154,0.000108154
79,1551.23,0.85753,0.65414,0.95603,0.70713,0.35468,0.39707,0.30267,1.08566,2.05995,1.08487,0.000103649,0.000103649,0.000103649
80,1570.86,0.84229,0.63299,0.94828,0.65569,0.3652,0.39692,0.30478,1.0871,2.08656,1.08764,9.91445e-05,9.91445e-05,9.91445e-05
81,1590.4,0.83224,0.62808,0.95344,0.72614,0.34825,0.39316,0.30079,1.09317,2.10725,1.0885,9.464e-05,9.464e-05,9.464e-05
82,1609.97,0.83594,0.62784,0.9517,0.7097,0.36401,0.39853,0.30462,1.09086,2.09559,1.09023,9.01355e-05,9.01355e-05,9.01355e-05
83,1629.47,0.84679,0.63716,0.949,0.7186,0.36028,0.39887,0.3057,1.08199,2.10891,1.07904,8.5631e-05,8.5631e-05,8.5631e-05
84,1649.18,0.82544,0.61786,0.94848,0.6901,0.3616,0.39625,0.30529,1.07962,2.09408,1.08148,8.11265e-05,8.11265e-05,8.11265e-05
85,1668.63,0.81418,0.61344,0.94576,0.73485,0.3558,0.39744,0.30576,1.07043,2.0865,1.08001,7.6622e-05,7.6622e-05,7.6622e-05
86,1687.98,0.81898,0.60801,0.94395,0.72256,0.36042,0.40136,0.30671,1.08569,2.11494,1.08012,7.21175e-05,7.21175e-05,7.21175e-05
87,1707.49,0.83816,0.62245,0.94857,0.68076,0.36453,0.40326,0.31029,1.06971,2.0758,1.07647,6.7613e-05,6.7613e-05,6.7613e-05
88,1727.17,0.82136,0.60955,0.94297,0.68633,0.36735,0.40088,0.30874,1.07161,2.10833,1.0732,6.31085e-05,6.31085e-05,6.31085e-05
89,1746.57,0.80901,0.60526,0.94429,0.74853,0.35869,0.40008,0.30632,1.07473,2.08892,1.07654,5.8604e-05,5.8604e-05,5.8604e-05
90,1766.24,0.83083,0.61595,0.94487,0.69271,0.3628,0.40377,0.31015,1.0704,2.07526,1.07419,5.40995e-05,5.40995e-05,5.40995e-05
91,1786.72,0.77304,0.54612,0.90105,0.63888,0.36785,0.39282,0.30131,1.07799,2.1091,1.08196,4.9595e-05,4.9595e-05,4.9595e-05
92,1806.48,0.75965,0.52186,0.89241,0.72034,0.35441,0.39339,0.30065,1.08122,2.10827,1.08236,4.50905e-05,4.50905e-05,4.50905e-05
93,1825.83,0.75382,0.51564,0.89082,0.71091,0.35783,0.39918,0.30652,1.07878,2.07648,1.08195,4.0586e-05,4.0586e-05,4.0586e-05
94,1845.14,0.75323,0.51011,0.89204,0.69722,0.36251,0.39887,0.30625,1.07779,2.09327,1.07883,3.60815e-05,3.60815e-05,3.60815e-05
95,1864.45,0.74288,0.50538,0.88712,0.7217,0.36054,0.40013,0.30715,1.0755,2.08396,1.08125,3.1577e-05,3.1577e-05,3.1577e-05
96,1884.04,0.74597,0.50572,0.88831,0.70218,0.36315,0.39996,0.30682,1.07217,2.08273,1.08144,2.70725e-05,2.70725e-05,2.70725e-05
97,1903.37,0.73635,0.50356,0.88627,0.73609,0.35959,0.4003,0.30696,1.0741,2.08847,1.08172,2.2568e-05,2.2568e-05,2.2568e-05
98,1922.7,0.72967,0.4887,0.88325,0.71677,0.36372,0.4012,0.30837,1.07415,2.08544,1.07952,1.80635e-05,1.80635e-05,1.80635e-05
99,1942.04,0.73107,0.49368,0.88367,0.70616,0.36632,0.40038,0.30865,1.07458,2.09081,1.08115,1.3559e-05,1.3559e-05,1.3559e-05
100,1961.25,0.73717,0.49314,0.88381,0.70124,0.36582,0.39941,0.3074,1.07454,2.08682,1.07926,9.0545e-06,9.0545e-06,9.0545e-06
